task_id,n_commands,n_processes,shadow_delete,recovery_disable,backup_delete,service_stop,process_kill,lateral_movement,persistence,log_clear,discovery,proc_vssadmin,proc_wbadmin,proc_bcdedit,proc_taskkill,proc_wevtutil,proc_net,proc_net1,proc_sc,proc_wmic,proc_schtasks,proc_powershell,proc_cmd,proc_nltest,n_services_created,n_services_started,n_registry_writes,verdict
73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAILED
74,10,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,31,TRUE_ENCRYPTION
75,10,15,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,3,27,TRUE_ENCRYPTION
76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAILED
77,9,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,45,TRUE_ENCRYPTION
78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO_VICTIM_ACTIVITY
79,13,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,26,TRUE_ENCRYPTION
80,17,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,38,TRUE_ENCRYPTION
81,69,68,4,0,3,9,42,0,0,0,0,0,0,0,16,0,1,1,0,0,0,0,36,0,0,6,21,NO_VICTIM_ACTIVITY
82,12,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,36,TRUE_ENCRYPTION
83,16,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,38,TRUE_ENCRYPTION
84,12,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,39,TRUE_ENCRYPTION
85,13,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,40,TRUE_ENCRYPTION
86,16,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,35,TRUE_ENCRYPTION
87,14,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,45,TRUE_ENCRYPTION
88,15,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,40,TRUE_ENCRYPTION
89,12,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,40,TRUE_ENCRYPTION
90,14,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,66,TRUE_ENCRYPTION
91,12,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,35,TRUE_ENCRYPTION
92,11,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,53,TRUE_ENCRYPTION
