file,label,total_imports,imp_crypto,imp_random,imp_file_ops,imp_volume_enum,imp_network_spread,imp_file_unlock,imp_process_enum,imp_shadow_service,imp_anti_analysis,indicative_category_count,static_crypto_libs
agentactivationruntimestarter.exe,benign,48,0,0,0,0,0,0,0,0,1,0,
AgentService.exe,benign,336,0,0,5,0,0,0,2,1,2,1,boost
AggregatorHost.exe,benign,196,0,0,2,0,0,0,0,0,3,0,
aitstatic.exe,benign,200,0,0,3,0,0,0,0,0,2,0,boost
alg.exe,benign,137,0,0,2,0,0,0,0,0,2,0,
AppHostRegistrationVerifier.exe,benign,197,0,0,0,0,0,0,0,0,2,0,
appidcertstorecheck.exe,benign,66,0,0,1,0,0,0,0,0,1,0,
appidpolicyconverter.exe,benign,142,0,0,5,0,0,0,0,3,1,0,
appidtel.exe,benign,59,0,0,0,0,0,0,0,3,1,0,
AppInstallerBackgroundUpdate.exe,benign,91,0,0,0,0,0,0,0,0,2,0,
ApplicationFrameHost.exe,benign,98,0,0,0,0,0,0,0,0,2,0,
ApplySettingsTemplateCatalog.exe,benign,308,0,0,5,0,0,0,1,1,2,1,boost
ApplyTrustOffline.exe,benign,351,0,0,5,0,0,0,2,1,3,1,
ApproveChildRequest.exe,benign,158,0,0,0,0,0,0,0,0,2,0,
AppVClient.exe,benign,310,0,0,1,0,0,0,1,0,2,1,
AppVDllSurrogate.exe,benign,112,0,0,0,0,0,0,0,0,2,0,
AppVNice.exe,benign,110,0,0,0,0,0,0,0,0,2,0,
AppVShNotify.exe,benign,189,0,0,0,0,0,0,1,0,2,1,boost
ARP.EXE,benign,71,0,0,0,0,0,0,0,0,1,0,
AssignedAccessGuard.exe,benign,166,0,0,0,0,0,0,0,0,2,0,
at.exe,benign,83,0,0,1,0,0,0,0,0,1,0,
AtBroker.exe,benign,169,0,0,1,0,0,0,1,3,2,1,
attrib.exe,benign,99,0,0,0,0,0,0,0,0,1,0,
audiodg.exe,benign,296,0,0,1,0,0,0,1,0,3,1,boost
auditpol.exe,benign,112,0,0,0,0,0,0,0,0,1,0,
AuthHost.exe,benign,113,0,0,0,0,0,0,1,0,1,1,
AutoCatHost.exe,benign,140,0,0,0,0,0,0,0,0,2,0,
autochk.exe,benign,173,0,0,2,0,0,0,1,0,0,1,
autofstx.exe,benign,110,0,0,2,0,0,0,0,0,2,0,
AxInstUI.exe,benign,50,0,0,1,0,0,0,0,0,1,0,
backgroundTaskHost.exe,benign,30,0,0,0,0,0,0,0,0,1,0,
BackgroundTransferHost.exe,benign,49,0,0,0,0,0,0,0,0,1,0,
bcdboot.exe,benign,247,0,0,6,3,0,0,2,1,2,2,
bcdedit.exe,benign,243,0,0,4,0,0,0,1,0,2,1,
bdechangepin.exe,benign,269,0,0,0,0,0,0,0,0,2,0,
BdeHdCfg.exe,benign,119,0,0,0,1,0,0,0,0,1,1,
BdeUISrv.exe,benign,153,0,0,0,0,0,0,1,2,1,1,
bdeunlock.exe,benign,186,0,0,1,1,0,0,0,0,2,1,
bfscfg.exe,benign,97,0,0,1,0,0,0,0,0,2,0,
BioIso.exe,benign,164,0,0,0,0,0,0,1,0,2,1,
BitLockerDeviceEncryption.exe,benign,163,0,0,0,1,0,0,1,0,2,2,
BitLockerWizard.exe,benign,44,0,0,0,0,0,0,0,0,1,0,
BitLockerWizardElev.exe,benign,44,0,0,0,0,0,0,0,0,1,0,
bitsadmin.exe,benign,156,0,0,1,0,0,0,0,2,2,0,
bootim.exe,benign,74,0,0,0,0,0,0,0,0,2,0,
bootsect.exe,benign,110,0,0,3,0,0,0,1,0,1,1,
bridgeunattend.exe,benign,61,0,0,0,0,0,0,0,0,1,0,
browser_broker.exe,benign,95,0,0,0,0,0,0,0,0,2,0,
browserexport.exe,benign,225,0,0,3,0,0,0,1,1,2,1,
bthudtask.exe,benign,46,0,0,0,0,0,0,0,0,1,0,
btscan.exe,benign,97,0,0,2,0,0,0,1,0,0,1,
ByteCodeGenerator.exe,benign,166,0,0,2,0,0,0,1,0,2,1,
cacls.exe,benign,96,0,0,1,0,0,0,0,0,1,0,
calc.exe,benign,34,0,0,0,0,0,0,0,0,1,0,
