task_id,n_shots,cells_changed,cells_usable,cell_change_fraction,pixel_change_fraction,visual_change,verdict,destroyed_decoy_files,agreement,first_shot,last_shot
73,5,0,168,0.0,0.0005,no,,,,/opt/CAPEv2/storage/analyses/73/shots/0001.jpg,/opt/CAPEv2/storage/analyses/73/shots/0005.jpg
74,35,35,168,0.2083,0.0458,yes,,,,/opt/CAPEv2/storage/analyses/74/shots/0001.jpg,/opt/CAPEv2/storage/analyses/74/shots/0035.jpg
75,35,4,168,0.0238,0.0039,no,,,,/opt/CAPEv2/storage/analyses/75/shots/0001.jpg,/opt/CAPEv2/storage/analyses/75/shots/0035.jpg
76,105,139,168,0.8274,0.7162,yes,,,,/opt/CAPEv2/storage/analyses/76/shots/0001.jpg,/opt/CAPEv2/storage/analyses/76/shots/0105.jpg
77,28,37,168,0.2202,0.0505,yes,,,,/opt/CAPEv2/storage/analyses/77/shots/0001.jpg,/opt/CAPEv2/storage/analyses/77/shots/0028.jpg
78,14,139,168,0.8274,0.7167,yes,,,,/opt/CAPEv2/storage/analyses/78/shots/0001.jpg,/opt/CAPEv2/storage/analyses/78/shots/0014.jpg
79,27,31,168,0.1845,0.0347,yes,,,,/opt/CAPEv2/storage/analyses/79/shots/0001.jpg,/opt/CAPEv2/storage/analyses/79/shots/0027.jpg
80,52,168,168,1.0,0.9845,yes,,,,/opt/CAPEv2/storage/analyses/80/shots/0001.jpg,/opt/CAPEv2/storage/analyses/80/shots/0052.jpg
81,37,139,168,0.8274,0.7165,yes,,,,/opt/CAPEv2/storage/analyses/81/shots/0001.jpg,/opt/CAPEv2/storage/analyses/81/shots/0037.jpg
82,58,37,168,0.2202,0.0469,yes,,,,/opt/CAPEv2/storage/analyses/82/shots/0001.jpg,/opt/CAPEv2/storage/analyses/82/shots/0058.jpg
83,49,29,168,0.1726,0.0366,yes,,,,/opt/CAPEv2/storage/analyses/83/shots/0001.jpg,/opt/CAPEv2/storage/analyses/83/shots/0049.jpg
84,31,30,168,0.1786,0.0349,yes,,,,/opt/CAPEv2/storage/analyses/84/shots/0001.jpg,/opt/CAPEv2/storage/analyses/84/shots/0031.jpg
85,66,36,168,0.2143,0.0472,yes,,,,/opt/CAPEv2/storage/analyses/85/shots/0001.jpg,/opt/CAPEv2/storage/analyses/85/shots/0066.jpg
86,36,33,168,0.1964,0.0399,yes,,,,/opt/CAPEv2/storage/analyses/86/shots/0001.jpg,/opt/CAPEv2/storage/analyses/86/shots/0036.jpg
87,48,32,168,0.1905,0.0399,yes,,,,/opt/CAPEv2/storage/analyses/87/shots/0001.jpg,/opt/CAPEv2/storage/analyses/87/shots/0048.jpg
88,69,46,168,0.2738,0.0678,yes,,,,/opt/CAPEv2/storage/analyses/88/shots/0001.jpg,/opt/CAPEv2/storage/analyses/88/shots/0069.jpg
89,63,32,168,0.1905,0.0383,yes,,,,/opt/CAPEv2/storage/analyses/89/shots/0001.jpg,/opt/CAPEv2/storage/analyses/89/shots/0063.jpg
90,27,29,168,0.1726,0.036,yes,,,,/opt/CAPEv2/storage/analyses/90/shots/0001.jpg,/opt/CAPEv2/storage/analyses/90/shots/0027.jpg
91,42,36,168,0.2143,0.0446,yes,,,,/opt/CAPEv2/storage/analyses/91/shots/0001.jpg,/opt/CAPEv2/storage/analyses/91/shots/0042.jpg
92,55,31,168,0.1845,0.0381,yes,,,,/opt/CAPEv2/storage/analyses/92/shots/0001.jpg,/opt/CAPEv2/storage/analyses/92/shots/0055.jpg
93,41,31,168,0.1845,0.0354,yes,,,,/opt/CAPEv2/storage/analyses/93/shots/0001.jpg,/opt/CAPEv2/storage/analyses/93/shots/0041.jpg
94,43,33,168,0.1964,0.0497,yes,,,,/opt/CAPEv2/storage/analyses/94/shots/0001.jpg,/opt/CAPEv2/storage/analyses/94/shots/0043.jpg
95,57,42,168,0.25,0.0553,yes,,,,/opt/CAPEv2/storage/analyses/95/shots/0001.jpg,/opt/CAPEv2/storage/analyses/95/shots/0057.jpg
96,86,36,168,0.2143,0.0605,yes,,,,/opt/CAPEv2/storage/analyses/96/shots/0001.jpg,/opt/CAPEv2/storage/analyses/96/shots/0086.jpg
97,57,31,168,0.1845,0.0382,yes,,,,/opt/CAPEv2/storage/analyses/97/shots/0001.jpg,/opt/CAPEv2/storage/analyses/97/shots/0057.jpg
98,43,29,168,0.1726,0.036,yes,,,,/opt/CAPEv2/storage/analyses/98/shots/0001.jpg,/opt/CAPEv2/storage/analyses/98/shots/0043.jpg
99,4,1,168,0.006,0.0017,no,,,,/opt/CAPEv2/storage/analyses/99/shots/0001.jpg,/opt/CAPEv2/storage/analyses/99/shots/0004.jpg
