task_id,n_shots,cells_changed,cells_usable,cell_change_fraction,pixel_change_fraction,visual_change,peak_shot,verdict,destroyed_decoy_files,agreement,first_shot,last_shot
73,5,54,66,0.8182,0.6634,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/73/shots/0001.jpg,/opt/CAPEv2/storage/analyses/73/shots/0005.jpg
74,35,35,66,0.5303,0.1166,yes,0035.jpg,TRUE_ENCRYPTION,110,agree,/opt/CAPEv2/storage/analyses/74/shots/0001.jpg,/opt/CAPEv2/storage/analyses/74/shots/0035.jpg
75,35,10,66,0.1515,0.0795,yes,0027.jpg,NO_VICTIM_ACTIVITY,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/75/shots/0001.jpg,/opt/CAPEv2/storage/analyses/75/shots/0035.jpg
76,105,54,66,0.8182,0.6629,yes,0002.jpg,FAILED,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/76/shots/0001.jpg,/opt/CAPEv2/storage/analyses/76/shots/0105.jpg
77,28,38,66,0.5758,0.1467,yes,0023.jpg,TRUE_ENCRYPTION,111,agree,/opt/CAPEv2/storage/analyses/77/shots/0001.jpg,/opt/CAPEv2/storage/analyses/77/shots/0028.jpg
78,14,54,66,0.8182,0.6629,yes,0002.jpg,NO_VICTIM_ACTIVITY,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/78/shots/0001.jpg,/opt/CAPEv2/storage/analyses/78/shots/0014.jpg
79,27,36,66,0.5455,0.1388,yes,0022.jpg,TRUE_ENCRYPTION,112,agree,/opt/CAPEv2/storage/analyses/79/shots/0001.jpg,/opt/CAPEv2/storage/analyses/79/shots/0027.jpg
80,52,37,66,0.5606,0.135,yes,0042.jpg,TRUE_ENCRYPTION,101,agree,/opt/CAPEv2/storage/analyses/80/shots/0001.jpg,/opt/CAPEv2/storage/analyses/80/shots/0052.jpg
81,37,54,66,0.8182,0.6629,yes,0002.jpg,NO_VICTIM_ACTIVITY,0,REVIEW: screen changed but verdict says no encryption,/opt/CAPEv2/storage/analyses/81/shots/0001.jpg,/opt/CAPEv2/storage/analyses/81/shots/0037.jpg
82,58,40,66,0.6061,0.1593,yes,0053.jpg,TRUE_ENCRYPTION,97,agree,/opt/CAPEv2/storage/analyses/82/shots/0001.jpg,/opt/CAPEv2/storage/analyses/82/shots/0058.jpg
